date,State,Vehicle_Category,ev_sales
2014-01,Andaman & Nicobar Island,2-Wheelers,0.0
2014-01,Andaman & Nicobar Island,4-Wheelers,0.0
2014-01,Andhra Pradesh,2-Wheelers,1.0
2014-01,Andhra Pradesh,4-Wheelers,0.0
2014-01,Arunachal Pradesh,2-Wheelers,0.0
2014-01,Arunachal Pradesh,4-Wheelers,0.0
2014-01,Assam,2-Wheelers,0.0
2014-01,Assam,4-Wheelers,0.0
2014-01,Bihar,2-Wheelers,0.0
2014-01,Bihar,4-Wheelers,0.0
2014-01,Chandigarh,2-Wheelers,0.0
2014-01,Chandigarh,4-Wheelers,0.0
2014-01,Chhattisgarh,2-Wheelers,10.0
2014-01,Chhattisgarh,4-Wheelers,0.0
2014-01,DNH and DD,2-Wheelers,0.0
2014-01,DNH and DD,4-Wheelers,0.0
2014-01,Delhi,2-Wheelers,2.0
2014-01,Delhi,4-Wheelers,5.0
2014-01,Goa,2-Wheelers,0.0
2014-01,Goa,4-Wheelers,1.0
2014-01,Gujarat,2-Wheelers,14.0
2014-01,Gujarat,4-Wheelers,0.0
2014-01,Haryana,2-Wheelers,0.0
2014-01,Haryana,4-Wheelers,1.0
2014-01,Himachal Pradesh,2-Wheelers,0.0
2014-01,Himachal Pradesh,4-Wheelers,1.0
2014-01,Jammu and Kashmir,2-Wheelers,0.0
2014-01,Jammu and Kashmir,4-Wheelers,0.0
2014-01,Jharkhand,2-Wheelers,0.0
2014-01,Jharkhand,4-Wheelers,0.0
2014-01,Karnataka,2-Wheelers,24.0
2014-01,Karnataka,4-Wheelers,20.0
2014-01,Kerala,2-Wheelers,3.0
2014-01,Kerala,4-Wheelers,1.0
2014-01,Ladakh,4-Wheelers,0.0
2014-01,Madhya Pradesh,2-Wheelers,4.0
2014-01,Madhya Pradesh,4-Wheelers,0.0
2014-01,Maharashtra,2-Wheelers,82.0
2014-01,Maharashtra,4-Wheelers,3.0
2014-01,Manipur,2-Wheelers,0.0
2014-01,Manipur,4-Wheelers,0.0
2014-01,Meghalaya,2-Wheelers,0.0
2014-01,Meghalaya,4-Wheelers,0.0
2014-01,Mizoram,2-Wheelers,0.0
2014-01,Mizoram,4-Wheelers,0.0
2014-01,Nagaland,2-Wheelers,0.0
2014-01,Nagaland,4-Wheelers,0.0
2014-01,Odisha,2-Wheelers,5.0
2014-01,Odisha,4-Wheelers,0.0
2014-01,Puducherry,2-Wheelers,2.0
2014-01,Puducherry,4-Wheelers,0.0
2014-01,Punjab,2-Wheelers,5.0
2014-01,Punjab,4-Wheelers,0.0
2014-01,Rajasthan,2-Wheelers,4.0
2014-01,Rajasthan,4-Wheelers,0.0
2014-01,Sikkim,2-Wheelers,0.0
2014-01,Sikkim,4-Wheelers,0.0
2014-01,Tamil Nadu,2-Wheelers,9.0
2014-01,Tamil Nadu,4-Wheelers,1.0
2014-01,Tripura,2-Wheelers,0.0
2014-01,Tripura,4-Wheelers,0.0
2014-01,Uttar Pradesh,2-Wheelers,6.0
2014-01,Uttar Pradesh,4-Wheelers,0.0
2014-01,Uttarakhand,2-Wheelers,3.0
2014-01,Uttarakhand,4-Wheelers,0.0
2014-01,West Bengal,2-Wheelers,0.0
2014-01,West Bengal,4-Wheelers,1.0
2014-02,Andaman & Nicobar Island,2-Wheelers,0.0
2014-02,Andaman & Nicobar Island,4-Wheelers,0.0
2014-02,Andhra Pradesh,2-Wheelers,0.0
2014-02,Andhra Pradesh,4-Wheelers,0.0
2014-02,Arunachal Pradesh,2-Wheelers,0.0
2014-02,Arunachal Pradesh,4-Wheelers,0.0
2014-02,Assam,2-Wheelers,0.0
2014-02,Assam,4-Wheelers,0.0
2014-02,Bihar,2-Wheelers,0.0
2014-02,Bihar,4-Wheelers,1.0
2014-02,Chandigarh,2-Wheelers,0.0
2014-02,Chandigarh,4-Wheelers,0.0
2014-02,Chhattisgarh,2-Wheelers,1.0
2014-02,Chhattisgarh,4-Wheelers,0.0
2014-02,DNH and DD,2-Wheelers,0.0
2014-02,DNH and DD,4-Wheelers,0.0
2014-02,Delhi,2-Wheelers,3.0
2014-02,Delhi,4-Wheelers,0.0
2014-02,Goa,2-Wheelers,0.0
2014-02,Goa,4-Wheelers,0.0
2014-02,Gujarat,2-Wheelers,0.0
2014-02,Gujarat,4-Wheelers,0.0
2014-02,Haryana,2-Wheelers,0.0
2014-02,Haryana,4-Wheelers,0.0
2014-02,Himachal Pradesh,2-Wheelers,0.0
